,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave generico,Generico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,1,CONSUMO DE 25 KWH,24.62,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,2,CONSUMO DE 50 KWH,49.24,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,3,CONSUMO DE 75 KWH,73.86,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,4,CONSUMO DE 100 KWH,103.59,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,5,CONSUMO DE 125 KWH,133.31,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,6,CONSUMO DE 150 KWH,185.99,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,7,CONSUMO DE 175 KWH,273.11,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,8,CONSUMO DE 200 KWH,360.23,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,9,CONSUMO DE 225 KWH,447.34,1,COST/M,
2020,10,24/11/2020 12:00:00 a. m.,4,"Guadalajara, Jal.",3. Vivienda,3.2. Electricidad y combustibles,3.2.1. Electricidad y combustibles,43 Electricidad,143,Electricidad,10,CONSUMO DE 250 KWH,534.46,1,COST/M,
